Date,BA close,NASDAQ close,COCA close,DELL close,GE close,GM close,IBM close,MD close,MSFT close,PEPSI close
8/23/1999,39.02,2719.57,25.41,45.75,29.47,44.54,113.4,34.76,35.91,30.26
8/20/1999,38.85,2648.33,25,43.25,28.53,43.68,110.95,34.82,34.63,30.1
8/19/1999,38.38,2621.43,25.3,43.88,28.07,43.68,112.03,34.66,34.82,30.42
8/18/1999,39.18,2657.73,25.81,44.56,28.24,43.38,112.88,35.39,35.31,31.7
8/17/1999,39.49,2671.23,25.69,41.13,28.18,43.33,117.1,35.03,35.13,32.76
8/16/1999,39.18,2645.28,25.58,41.44,27.77,42.68,116.07,34.4,35.02,32.39
8/13/1999,38.54,2637.81,26.44,41.44,27.25,44.41,112.42,33.65,35.18,32.76
8/12/1999,38.85,2549.49,25.58,40.25,26.57,41.9,110.37,32.92,33.96,32.6
8/11/1999,39.11,2564.98,25.75,42.25,26.82,42.9,112.37,33.13,34.97,33.13
8/10/1999,39,2490.11,25.86,40.44,26.52,42.07,108.72,33.44,34.46,32.71
8/9/1999,39.53,2518.98,25.81,41,26.57,42.9,111.35,34.4,34.82,31.54
8/6/1999,39.42,2547.97,24.95,39.81,27.06,41.35,112.54,33.92,35.36,32.34
8/5/1999,39.16,2565.83,24.55,38.75,27.7,41.87,112.15,35.08,35.62,32.49
8/4/1999,39.48,2540,24.72,39.13,26.99,43.11,107.88,35.34,35.29,32.6
8/3/1999,39.84,2587.99,26.09,39.44,27.28,43.28,108.67,35.66,35.21,32.81
8/2/1999,38.79,2623.63,25.86,39.94,27.28,42.47,111.29,35.97,35.23,33.13
7/30/1999,38.42,2638.49,26.67,40.88,27.56,41.96,114.42,35.08,35.65,33.24
7/29/1999,38.31,2640.01,26.67,41.25,28.32,43.89,114.13,35.08,36.12,33.93
7/28/1999,39.32,2705.84,26.49,42.75,28.83,45.13,116.87,35.34,37.39,33.82
7/27/1999,39.16,2679.33,25.46,42.13,29.4,45.38,114.93,35.5,36.89,33.72
7/26/1999,38.31,2619.19,24.09,40,28.83,45.26,111.98,35.87,36.4,33.51
7/23/1999,39.48,2692.4,24.95,41,29.13,45.04,113.62,35.34,37.49,33.88
7/22/1999,38.85,2684.44,25.64,39.63,29.08,45.09,112.77,35.55,37.83,34.3
7/21/1999,38,2761.77,26.15,41.25,29.57,45.64,117.44,36.18,39.34,33.08
7/20/1999,38.31,2732.18,26.83,41.13,29.73,45.64,116.76,36.02,38.76,32.81
7/19/1999,38.47,2830.29,26.83,42.44,30.34,46.89,122.56,36.55,40.87,33.4
7/16/1999,38.95,2864.48,27.41,43.25,30.06,47.4,124.04,37.13,41.31,32.87
7/15/1999,39.58,2839.37,27.52,43.94,29.73,46.71,124.09,36.76,39.2,32.71
7/14/1999,40.33,2818.13,27.12,43.5,29.28,46.54,124.95,37.13,39.44,33.24
7/13/1999,39.21,2778.23,27.81,42.25,29.22,46.5,125.52,37.65,38.89,32.97
7/12/1999,37.84,2790.44,28.09,43.63,29.17,47.15,125.46,36.97,39.13,32.76
7/9/1999,37.73,2793.07,28.32,42.81,29.62,45.38,125.07,37.49,38.74,32.81
7/8/1999,37.58,2771.86,27.81,39.94,29.58,46.5,121.99,34.18,38.45,32.55
7/7/1999,36.94,2743.04,28.09,38.31,29.82,48.05,120.91,34.55,38.35,32.02
7/6/1999,36.73,2736.78,28.49,37,28.81,49.21,119.26,34.24,37.21,32.02
7/2/1999,37.3,2741.02,29.41,37.13,28.41,47.1,120.4,34.55,38.22,32.18
7/1/1999,37.3,2706.18,28.89,36.63,28.11,46.41,119.26,35.08,37.88,32.92
6/30/1999,37.25,2686.12,27.18,37,28.48,45.3,117.67,34.61,37.47,32.34
6/29/1999,37.09,2642.11,30.5,36.69,27.65,44.01,113.45,34.87,36.56,31.32
6/28/1999,36.62,2602.44,29.35,37.06,26.77,43.54,111.58,33.86,36.04,30.42
6/25/1999,36.88,2552.65,29.12,36.94,26.33,43.58,112.08,33.34,35.29,30.1
6/24/1999,36.25,2553.99,28.95,38.13,26.91,43.33,111.58,33.65,35.15,30.47
6/23/1999,36.14,2598.12,29.58,38.31,26.67,42.47,111.92,34.29,35.73,30.69
6/22/1999,36.62,2580.26,29.81,37.56,26.69,43.67,112.31,34.71,35.93,29.89
6/21/1999,36.41,2630.28,30.27,38.94,26.61,43.76,113.57,34.92,36.95,30.63
6/18/1999,37.79,2563.44,29.35,36.7,27.11,43.11,109.93,35.34,35.31,30.9
6/17/1999,36.94,2544.15,30.5,36.5,27.34,44.01,109.42,35.92,34.43,30.42
6/16/1999,36.2,2517.83,30.61,35.81,26.92,44.23,109.87,35.45,33.65,30.31
6/15/1999,36.03,2414.67,31.2,34.63,26.26,42.25,105.48,35.03,32.27,29.94
6/14/1999,35.4,2398.31,32.17,33.31,26.15,43.37,105.15,34.71,32.22,30.1
6/11/1999,36.09,2447.88,31.83,34.19,25.55,43.76,104.06,35.03,32.45,29.89
6/10/1999,36.25,2484.62,32.74,34.5,25.46,44.4,104.92,35.24,33.18,29.94
6/9/1999,35.77,2519.35,33.59,35.5,25.89,44.27,106.51,34.5,34.19,30.25
6/8/1999,37.09,2474.56,33.08,34,25.8,46.5,106.17,34.29,32.97,30.68
6/7/1999,37.04,2524.21,34.05,35.75,26.33,47.44,109.7,33.65,33.34,30.78
6/4/1999,37.2,2478.34,33.76,33.88,26.44,46.93,105.6,34.5,33.05,30.52
6/3/1999,36.03,2403.32,32.17,33.19,25.93,47.66,102.82,33.23,31.73,30.73
6/2/1999,35.72,2432.41,31.66,33.5,25.73,48.09,103.55,32.18,32.59,30.84
6/1/1999,36.09,2412.03,32.39,33.06,25.85,48.52,101.96,32.5,32.61,30.09
5/28/1999,35.61,2470.52,33.08,34.44,25.63,47.36,105.6,32.39,33.52,30.52
5/27/1999,34.98,2419.15,32.62,34.5,25.38,47.05,105.6,31.92,32.56,31.15
5/26/1999,34.98,2427.18,33.2,34.56,25.99,48.18,107.54,32.35,32.61,31.79
5/25/1999,36.46,2380.9,33.13,34.56,25.8,48.04,100.68,32.14,31.68,32.05
5/24/1999,37.58,2453.66,32.51,36.13,26.09,47.19,101.85,32.56,32.09,32.48
5/21/1999,38.05,2520.14,32.17,37.31,26.25,47.3,104.87,33.51,32.22,31.9
5/20/1999,37.79,2542.23,31.94,38.25,26.83,45.48,106,33.66,32.59,31.79
5/19/1999,37.58,2577.4,31.66,39.81,27.22,45.24,107.37,33.98,32.95,32
5/18/1999,36.99,2558.36,31.03,44.06,26.28,45.98,108.56,34.19,32.69,31.9
5/17/1999,35.98,2561.84,29.89,43.25,26.78,45.59,108.11,33.35,32.87,32.37
5/14/1999,36.41,2527.86,30.4,41.19,26.7,47.19,108.9,33.93,31.93,31.47
5/13/1999,36.25,2582,30.69,43.25,27.55,48.82,111.98,34.35,32.87,30.09
5/12/1999,36.03,2606.54,30.29,43.94,27.78,50.17,102.64,35.08,33.44,29.35
5/11/1999,36.66,2566.68,30.85,42.63,27.97,48.68,100.6,35.13,33.18,29.88
5/10/1999,37.18,2526.39,29.94,42.25,27.41,48.29,99.52,33.19,33.11,31.15
5/7/1999,38.61,2503.62,29.89,40.19,27.71,48.89,98.89,33.61,32.84,31.1
5/6/1999,37.93,2472.28,31.03,39.44,27.29,48.18,95.25,34.29,32.38,31.58
5/5/1999,37.24,2534.45,32.06,41.31,27.48,49.07,96.45,34.14,32.87,31.42
5/4/1999,36.4,2485.12,31.2,40.81,26.45,50.23,96.39,34.29,32.43,31.74
5/3/1999,36.29,2535.58,32.06,42.06,26.62,52.91,96.5,35.5,33.18,31.31
4/30/1999,34.29,2542.86,31.48,41.19,26.56,50.26,95.11,35.61,33.78,31.31
4/29/1999,34.08,2528.44,31.99,41.06,27.13,50.79,93.12,35.19,34.09,31.84
4/28/1999,34.18,2550.37,33.31,41.63,28.11,49.84,93.21,35.71,34.11,32.05
4/27/1999,33.23,2602.41,32.8,43.19,28.36,49.95,96.39,36.34,34.9,31.15
4/26/1999,33.39,2652.05,30.29,44.81,28.61,50.16,95.43,36.5,36.56,30.73
4/23/1999,34.18,2590.69,30,43,28.45,50.3,90.82,37.08,35.73,31.31
4/22/1999,34.02,2561.61,30,41.88,28.55,50.06,88.43,37.55,35.29,33.01
4/21/1999,34.08,2489.08,30.34,38.44,28.63,50.26,78.15,38.13,34.06,31.47
4/20/1999,33.13,2409.64,28.29,38.19,27.55,49.21,77.18,37.08,34.53,31.15
4/19/1999,33.39,2345.61,26.97,35.44,26.4,50.79,75.82,36.13,33.65,30.89
4/16/1999,33.45,2484.04,27.83,38.25,28.04,49.63,77.47,37.34,35.98,31.37
4/15/1999,35.18,2521.77,27.26,39.81,28.36,48.85,80.82,37.18,36.92,32.21
4/14/1999,32.07,2507.28,26.57,38.13,28.75,50.65,81.56,37.97,35.67,32.32
4/13/1999,29.23,2583.5,27.66,40.44,29.48,51.04,81.84,39.07,37.44,33.48
4/12/1999,29.38,2598.81,27.78,41.81,29.37,49.73,83.4,38.55,38.63,32.42
4/9/1999,29.59,2593.05,27.32,43.56,28.28,48.32,84.71,38.49,39.15,32.64
4/8/1999,29.23,2573.39,27.09,45,28.7,49.59,85.02,39.39,39.28,31.74
4/7/1999,29.44,2544.43,27.09,46.44,28.86,48.93,84.8,39.28,38.76,32.42
4/6/1999,29.02,2563.17,28.29,46.81,28.56,51.39,83.2,38.7,39.07,32.95
4/5/1999,28.96,2560.06,28.34,44.06,28.89,49.42,83.63,38.97,39.44,32.74
4/1/1999,28.64,2493.37,28.01,41.19,28.14,48.22,80.48,38.34,38.51,33.22
3/31/1999,28.69,2461.4,27.6,40.88,27.88,49.1,80.59,38.07,37.23,33.8
3/30/1999,28.69,2480.29,28.74,39.88,28.56,49.31,81.19,37.81,38.63,34.49
3/29/1999,29.33,2492.84,30.4,39.44,28.23,49.38,80.88,38.23,38.37,33.91
3/26/1999,29.38,2419.17,29.66,37.88,27.18,49.63,78.38,37.29,37,33.27
3/25/1999,29.23,2434.8,30.46,38.13,27.35,49.21,77.89,37.13,37.38,32.42
3/24/1999,28.96,2365.28,29.94,38.5,26.91,48.32,77.07,36.13,35.57,32.95
3/23/1999,28.8,2322.84,30.06,35.69,26.86,48.29,75.19,35.61,34.6,33.7
3/22/1999,29.44,2395.94,31.08,37.88,27.82,50.94,75.93,35.82,35.89,33.86
3/19/1999,28.69,2421.27,31.94,40.25,28.23,50.69,76.64,36.66,35.56,34.01
3/18/1999,29.65,2462.96,32.74,42.25,27.73,50.51,80.76,36.76,35.82,33.96
3/17/1999,30.17,2428.97,32.28,42.94,27.34,50.2,80.96,36.6,34.71,33.8
3/16/1999,30.59,2439.27,32.7,44.38,27.73,50.3,82.3,36.92,35.12,32.95
3/15/1999,29.28,2431.44,32.08,43.75,27.76,50.55,82.75,37.13,34.46,32.64
3/12/1999,29.65,2381.53,31.27,42.19,27.07,50.23,80.93,36.55,33.27,32.27
3/11/1999,29.17,2412.25,30.88,41.88,26.99,50.62,83.15,37.55,33.53,32.27
3/10/1999,28.85,2406,31.11,43.31,26.66,49.59,82.52,36.72,33.52,32.47
3/9/1999,28.64,2392.94,31.57,44.06,26.72,49.91,82.84,36.51,33.61,33
3/8/1999,29.38,2397.62,31.5,45.38,26.42,49.45,81.33,37.98,33.03,33.69
3/5/1999,30.01,2337.11,31.67,43.03,26.14,50.02,81.1,39.58,32.18,31.89
3/4/1999,29.44,2292.89,31.11,40.94,25.33,48.4,77.75,37.82,31.62,31.47
3/3/1999,28.64,2265.2,29.34,40.47,24.8,46.77,75.82,37.3,31.08,31.15
3/2/1999,29.17,2259.03,28.71,39.03,24.94,46.67,76.27,37.72,30.86,32.1
3/1/1999,29.96,2295.18,28.77,40.28,25.35,46.91,76.56,36.33,31.52,31.73
2/26/1999,30.07,2288.03,28.26,40.06,25.2,46.6,77.18,35.67,31.18,32.37
2/25/1999,29.54,2326.82,29.34,40.88,25.21,47.19,78.94,35.28,31.88,32.95
2/24/1999,30.07,2339.38,29.4,41.62,25.37,47.97,79,35.67,31.76,33.37
2/23/1999,31.55,2376.35,29.45,43.53,25.87,48.29,80.45,35.96,32.29,33.37
2/22/1999,30.59,2342.01,29.17,42.44,26.12,49.38,80.9,35.93,30.91,33.11
2/19/1999,30.12,2283.6,29.85,40.06,25.21,48.22,78.04,35.91,30.69,31.73
2/18/1999,30.28,2260.55,29.4,41.5,25.27,48.29,79.23,34.81,30.27,31.73
2/17/1999,30.01,2248.91,29.74,40.78,24.94,46.6,77.52,33.78,31.16,31.47
2/16/1999,30.22,2313.87,30.54,44.38,24.87,46.88,78.43,34.33,32.46,31.36
